,Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
0,1,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,1
1,11,6.0,0.28,0.52,6.2,28.0,37.0,104.0,0.99161,3.28,0.51,11.8,1
2,12,8.5,0.28,0.34,13.8,41.0,32.0,161.0,0.9981,3.13,0.4,9.9,1
3,16,6.4,0.18,0.28,17.05,47.0,53.0,139.0,0.99724,3.25,0.35,10.5,1
4,17,7.0,0.17,0.37,1.5,28.0,26.0,75.0,0.9922,3.3,0.46,10.8,1
5,23,5.5,0.18,0.22,5.5,37.0,10.0,86.0,0.99156,3.46,0.44,12.2,1
6,25,7.0,0.21,0.42,5.3,37.0,36.0,123.0,0.99321,3.14,0.52,10.9,1
7,27,7.0,0.34,0.39,6.9,66.0,43.0,162.0,0.99561,3.11,0.53,9.5,1
8,31,6.7,0.16,0.32,12.5,35.0,18.0,156.0,0.99666,2.88,0.36,9.0,1
9,32,7.3,0.22,0.37,15.5,48.0,70.0,203.0,0.99899,3.25,0.77,9.4,1
10,39,6.7,0.29,0.49,4.7,34.0,35.0,156.0,0.9945,3.13,0.45,9.9,1
11,42,6.6,0.32,0.22,16.7,46.0,38.0,133.0,0.9979,3.22,0.67,10.4,1
12,49,6.6,0.16,0.3,1.6,34.0,15.0,78.0,0.992,3.38,0.44,11.2,1
13,54,7.1,0.31,0.5,14.5,59.0,6.0,148.0,0.9983,2.94,0.44,9.1,1
14,55,6.8,0.16,0.29,10.4,46.0,59.0,143.0,0.99518,3.2,0.4,10.8,1
15,56,8.0,0.19,0.36,1.8,0.05,16.0,84.0,0.9936,3.15,0.45,9.8,1
16,57,7.8,0.26,0.27,1.9,51.0,52.0,195.0,0.9928,3.23,0.5,10.9,1
17,60,5.6,0.46,0.24,4.8,42.0,24.0,72.0,0.9908,3.29,0.37,12.6,1
18,68,8.6,0.31,0.3,0.9,45.0,16.0,109.0,0.99249,2.95,0.39,10.1,1
19,74,7.2,0.23,0.32,8.5,58.0,47.0,186.0,0.9956,3.19,0.4,9.9,1
20,76,7.0,0.21,0.28,7.5,0.07,45.0,185.0,0.9966,3.34,0.55,9.4,1
21,82,6.5,0.29,0.25,2.5,142.0,8.0,111.0,0.9927,3.0,0.44,9.9,1
22,84,6.5,0.25,0.27,17.4,64.0,29.0,140.0,0.99776,3.2,0.49,10.1,1
23,86,6.6,0.22,0.53,15.1,52.0,22.0,136.0,0.9986,2.94,0.35,9.4,1
24,89,7.0,0.55,0.05,8.0,36.0,19.0,164.0,0.99269,3.26,0.46,12.2,1
25,90,8.7,0.23,0.32,13.4,44.0,35.0,169.0,0.99975,3.12,0.47,8.8,1
26,97,5.5,0.17,0.23,2.9,39.0,10.0,108.0,0.99243,3.28,0.5,10.0,1
27,103,6.7,0.17,0.27,1.4,32.0,39.0,149.0,0.99254,3.4,0.52,10.5,1
28,105,7.7,0.42,0.38,8.1,61.0,49.0,144.0,0.9966,3.4,0.58,11.0,1
29,106,6.0,0.29,0.27,2.3,44.0,20.0,117.0,0.9895,3.31,0.41,12.7,1
30,114,6.4,0.24,0.27,1.5,0.04,35.0,105.0,0.98914,3.13,0.3,12.4,1
31,121,9.7,0.24,0.49,4.9,32.0,3.0,18.0,0.99368,2.85,0.54,10.0,1
32,122,7.9,0.28,0.49,7.7,45.0,48.0,195.0,0.9954,3.04,0.55,11.0,1
33,128,7.0,0.23,0.36,7.1,28.0,31.0,104.0,0.9922,3.35,0.47,12.1,1
34,129,5.9,0.29,0.25,12.0,57.0,48.0,224.0,0.9981,3.23,0.41,9.0,1
35,131,6.1,0.27,0.25,1.8,41.0,9.0,109.0,0.9929,3.08,0.54,9.0,1
36,132,5.5,0.23,0.19,2.2,44.0,39.0,161.0,0.99209,3.19,0.43,10.4,1
37,136,7.8,0.17,0.5,1.3,45.0,35.0,140.0,0.9904,3.16,0.4,12.0,1
38,139,6.0,0.17,0.33,6.0,36.0,30.0,111.0,0.99362,3.32,0.58,10.1333333333333,1
39,141,6.9,0.25,0.24,3.6,57.0,13.0,85.0,0.9942,2.99,0.48,9.5,1
40,145,5.4,0.15,0.32,2.5,37.0,10.0,51.0,0.98878,3.04,0.58,12.6,1
41,152,8.2,0.25,0.46,3.75,0.05,14.0,102.0,0.99524,3.28,0.58,9.7,1
42,156,7.0,0.24,0.25,1.7,42.0,48.0,189.0,0.992,3.25,0.42,11.4,1
43,175,6.1,0.17,0.42,15.1,33.0,28.0,124.0,0.99684,2.87,0.47,9.5,1
44,176,5.7,0.28,0.28,2.2,19.0,15.0,65.0,0.9902,3.06,0.52,11.2,1
45,185,6.8,0.26,0.44,8.2,46.0,52.0,183.0,0.99584,3.2,0.51,9.4,1
46,187,7.2,0.18,0.31,1.1,45.0,20.0,73.0,0.9925,3.32,0.4,10.8,1
47,190,5.7,0.18,0.26,2.2,23.0,21.0,95.0,0.9893,3.07,0.54,12.3,1
48,198,6.7,0.34,0.4,2.1,33.0,34.0,111.0,0.98924,2.97,0.48,12.2,1
49,199,5.8,0.23,0.31,4.5,46.0,42.0,124.0,0.99324,3.31,0.64,10.8,1
50,203,7.2,0.26,0.4,6.3,47.0,52.0,172.0,0.99573,3.18,0.53,9.5,1
51,204,6.3,0.41,0.16,0.9,32.0,25.0,98.0,0.99274,3.16,0.42,9.5,1
52,206,6.8,0.29,0.32,1.8,32.0,18.0,130.0,0.99095,3.05,0.62,11.2,1
53,208,5.7,0.21,0.24,2.3,47.0,60.0,189.0,0.995,3.65,0.72,10.1,1
54,217,7.8,0.21,0.49,1.2,36.0,20.0,99.0,0.99,3.05,0.28,12.1,1
55,224,6.8,0.25,0.24,1.6,45.0,39.0,164.0,0.99402,3.53,0.58,10.8,1
56,225,6.8,0.21,0.27,2.1,0.03,26.0,139.0,0.99,3.16,0.61,12.6,1
57,230,5.7,0.22,0.2,16.0,44.0,41.0,113.0,0.99862,3.22,0.46,8.9,1
58,236,6.1,0.34,0.46,4.7,29.0,21.0,94.0,0.991,3.29,0.62,12.3,1
59,237,7.7,0.32,0.62,10.6,36.0,56.0,153.0,0.9978,3.13,0.44,8.9,1
60,240,6.6,0.17,0.26,7.4,52.0,45.0,128.0,0.99388,3.16,0.37,10.0,1
61,241,6.2,0.33,0.14,4.8,52.0,27.0,128.0,0.99475,3.21,0.48,9.4,1
62,242,6.6,0.17,0.35,2.6,0.03,33.0,78.0,0.99146,3.22,0.72,11.3,1
63,246,6.2,0.3,0.21,1.1,32.0,31.0,111.0,0.9889,2.97,0.42,12.2,1
64,247,8.0,0.22,0.28,14.0,53.0,83.0,197.0,0.9981,3.14,0.45,9.8,1
65,253,6.6,0.34,0.18,6.4,82.0,47.0,240.0,0.9971,3.42,0.48,9.2,1
66,254,8.1,0.43,0.42,6.6,33.0,36.0,141.0,0.9918,2.98,0.39,13.3,1
67,256,6.8,0.34,0.36,8.9,29.0,44.0,128.0,0.99318,3.28,0.35,11.95,1
68,260,6.4,0.26,0.26,1.1,52.0,22.0,176.0,0.99304,3.09,0.54,9.3,1
69,265,6.4,0.17,0.34,1.5,93.0,43.0,136.0,0.9938,3.25,0.49,9.6,1
70,269,6.9,0.24,0.33,1.7,35.0,47.0,136.0,0.99,3.26,0.4,12.6,1
71,272,7.2,0.32,0.36,2.0,33.0,37.0,114.0,0.9906,3.1,0.71,12.3,1
72,277,6.0,0.19,0.37,9.7,32.0,17.0,50.0,0.9932,3.08,0.66,12.0,1
73,285,5.3,0.58,0.07,6.9,43.0,34.0,149.0,0.9944,3.34,0.57,9.7,1
74,286,6.5,0.32,0.12,11.5,33.0,35.0,165.0,0.9974,3.22,0.32,9.0,1
75,290,6.2,0.36,0.38,3.2,31.0,20.0,89.0,0.98956,3.06,0.33,12.0,1
76,292,7.2,0.39,0.62,11.0,47.0,66.0,178.0,0.9976,3.16,0.5,8.7,1
77,300,5.4,0.3,0.3,1.2,29.0,25.0,93.0,0.98742,3.31,0.4,13.6,1
78,301,6.8,0.14,0.18,1.4,47.0,30.0,90.0,0.99164,3.27,0.54,11.2,1
79,305,6.1,0.32,0.28,6.6,21.0,29.0,132.0,0.99188,3.15,0.36,11.45,1
80,312,7.1,0.22,0.32,16.9,56.0,49.0,158.0,0.9998,3.37,0.38,9.6,1
81,315,9.0,0.22,0.49,10.4,48.0,52.0,195.0,0.9987,3.31,0.44,10.2,1
82,318,7.0,0.17,0.33,4.0,34.0,17.0,127.0,0.9934,3.19,0.39,10.6,1
83,320,8.6,0.31,0.3,0.9,45.0,16.0,109.0,0.99249,2.95,0.39,10.1,1
84,331,6.0,0.21,0.34,2.0,42.0,63.0,123.0,0.99052,3.44,0.42,11.4,1
85,334,6.8,0.21,0.62,6.4,41.0,7.0,113.0,0.99358,2.96,0.59,10.2,1
86,341,7.7,0.3,0.42,14.3,45.0,45.0,213.0,0.9991,3.18,0.63,9.2,1
87,346,7.2,0.25,0.28,14.4,55.0,55.0,205.0,0.9986,3.12,0.38,9.0,1
88,351,6.5,0.46,0.41,16.8,84.0,59.0,222.0,0.9993,3.18,0.58,9.0,1
89,353,7.2,0.34,0.3,8.4,51.0,40.0,167.0,0.99756,3.48,0.62,9.7,1
90,355,6.3,0.25,0.22,3.3,48.0,41.0,161.0,0.99256,3.16,0.5,10.5,1
91,361,7.1,0.26,0.34,14.4,67.0,35.0,189.0,0.9986,3.07,0.53,9.1,1
92,366,5.7,0.22,0.22,16.65,44.0,39.0,110.0,0.99855,3.24,0.48,9.0,1
93,367,6.9,0.36,0.34,4.2,18.0,57.0,119.0,0.9898,3.28,0.36,12.7,1
94,368,6.8,0.22,0.31,1.4,53.0,34.0,114.0,0.9929,3.39,0.77,10.6,1
95,369,6.1,0.26,0.25,2.9,47.0,289.0,440.0,0.99314,3.44,0.64,10.5,1
96,376,7.2,0.34,0.2,5.8,62.0,52.0,203.0,0.99461,3.17,0.44,9.8,1
97,377,6.7,0.29,0.45,14.3,54.0,30.0,181.0,0.99869,3.14,0.57,9.1,1
98,380,6.3,0.28,0.22,9.5,0.04,30.0,111.0,0.99338,3.05,0.31,10.8,1
99,384,5.0,0.33,0.18,4.6,32.0,40.0,124.0,0.99114,3.18,0.4,11.0,1
100,386,6.0,0.13,0.36,1.6,52.0,23.0,72.0,0.98974,3.1,0.5,11.5,1
101,387,7.3,0.25,0.36,2.1,34.0,30.0,177.0,0.99085,3.25,0.4,11.9,1
102,395,6.8,0.32,0.23,3.3,26.0,31.0,99.0,0.9896,3.1,0.4,12.4,1
103,399,6.4,0.1,0.35,4.9,48.0,31.0,103.0,0.9947,3.43,0.79,9.7,1
104,400,5.9,0.22,0.18,6.4,41.0,28.0,120.0,0.99403,3.27,0.5,9.9,1
105,406,7.7,0.26,0.34,6.4,0.05,36.0,163.0,0.9937,3.19,0.7,11.5,1
106,407,6.7,0.33,0.34,7.5,36.0,39.0,124.0,0.99123,2.99,0.32,12.4,1
107,410,6.9,0.28,0.41,1.4,16.0,6.0,55.0,0.98876,3.16,0.4,13.4,1
108,411,5.3,0.165,0.24,1.1,51.0,25.0,105.0,0.9925,3.32,0.47,9.1,1
109,414,6.5,0.39,0.35,1.6,49.0,10.0,164.0,0.99516,3.35,0.51,9.7,1
110,415,7.3,0.24,0.39,3.6,24.0,35.0,116.0,0.9928,3.17,0.51,10.9,1
111,423,9.6,0.655,0.21,2.0,39.0,21.0,120.0,0.99188,3.0,1.0,12.6,1
112,429,7.0,0.27,0.41,18.75,42.0,34.0,157.0,1.0002,2.96,0.5,9.1,1
113,430,5.9,0.12,0.27,4.8,0.03,40.0,110.0,0.99226,3.55,0.68,12.1,1
114,432,7.3,0.51,0.29,11.3,34.0,61.0,224.0,0.99683,3.14,0.56,9.5,1
115,435,8.3,0.4,0.38,1.1,38.0,15.0,75.0,0.9934,3.03,0.43,9.2,1
116,439,6.6,0.52,0.44,12.2,48.0,54.0,245.0,0.9975,3.26,0.54,9.3,1
117,442,6.4,0.22,0.34,1.4,23.0,56.0,115.0,0.98958,3.18,0.7,11.7,1
118,443,5.9,0.44,0.33,1.2,49.0,12.0,117.0,0.99134,3.46,0.44,11.5,1
119,446,6.0,0.35,0.46,0.9,33.0,9.0,65.0,0.98934,3.24,0.35,12.1,1
120,447,6.4,0.32,0.31,1.9,37.0,34.0,126.0,0.99,3.06,0.45,11.8,1
121,449,8.6,0.16,0.49,7.3,43.0,9.0,63.0,0.9953,3.13,0.59,10.5,1
122,458,5.1,0.21,0.28,1.4,47.0,48.0,148.0,0.99168,3.5,0.49,10.4,1
123,459,6.8,0.67,0.3,13.0,0.29,22.0,193.0,0.9984,3.08,0.67,9.0,1
124,463,7.3,0.29,0.37,8.3,44.0,45.0,227.0,0.9966,3.12,0.47,9.0,1
125,482,7.2,0.16,0.29,1.0,31.0,40.0,123.0,0.98958,3.12,0.4,12.1,1
126,483,6.5,0.19,0.32,1.4,0.04,31.0,132.0,0.9922,3.36,0.54,10.8,1
127,496,7.0,0.23,0.28,2.7,53.0,16.0,92.0,0.99372,3.18,0.56,9.3,1
128,505,7.1,0.26,0.49,2.2,32.0,31.0,113.0,0.9903,3.37,0.42,12.9,1
129,506,6.9,0.22,0.37,15.0,53.0,59.0,178.0,0.9992,3.37,0.82,9.5,1
130,509,6.2,0.2,0.25,15.0,55.0,8.0,120.0,0.99767,3.19,0.53,9.6,1
131,512,6.8,0.15,0.3,5.3,0.05,40.0,127.0,0.9942,3.4,0.39,9.7,1
132,514,6.9,0.16,0.3,9.6,57.0,50.0,185.0,0.9978,3.39,0.38,9.6,1
133,521,6.4,0.15,0.31,1.1,44.0,25.0,96.0,0.9932,3.54,0.51,10.3,1
134,522,6.4,0.105,0.29,1.1,35.0,44.0,140.0,0.99142,3.17,0.55,10.7,1
135,523,6.7,0.13,0.28,1.2,46.0,35.0,140.0,0.9927,3.33,0.33,10.1,1
136,529,6.6,0.32,0.36,8.0,47.0,57.0,168.0,0.9949,3.15,0.46,9.6,1
137,531,6.9,0.37,0.23,9.5,57.0,54.0,166.0,0.99568,3.23,0.42,10.0,1
138,532,6.3,0.37,0.28,6.3,34.0,45.0,152.0,0.9921,3.29,0.46,11.6,1
139,533,9.9,1.005,0.46,1.4,46.0,34.0,185.0,0.9966,3.02,0.49,10.2,1
