,Id,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Quality
0,3940,6.4,0.39,0.21,1.2,41.0,35.0,136.0,0.99225,3.15,0.46,10.2,0
1,1655,7.5,0.305,0.4,18.9,59.0,44.0,170.0,1.0,2.99,0.46,9.0,0
2,1867,6.3,0.28,0.3,3.1,39.0,24.0,115.0,0.9942,3.05,0.43,8.6,0
3,4476,7.4,0.18,0.3,10.4,45.0,44.0,174.0,0.9966,3.11,0.57,9.7,1
4,453,6.9,0.2,0.36,1.5,31.0,38.0,147.0,0.9931,3.35,0.56,11.0,1
5,3297,6.7,0.16,0.34,1.6,26.0,27.0,109.0,0.9934,3.34,0.58,10.1,1
6,2574,7.5,0.21,0.34,6.4456793802145445,0.06,26.0,111.0,0.9931,3.51,0.47,10.7,1
7,4103,7.2,0.23,0.39,14.2,58.0,49.0,192.0,0.9979,2.98,0.48,9.0,1
8,3405,6.3,0.3,0.34,1.6,49.0,14.0,132.0,0.994,3.3,0.49,9.5,1
9,2924,7.0,0.14,0.32,9.0,39.0,54.0,141.0,0.9956,3.22,0.43,9.4,1
10,722,6.0,0.32,0.3,1.3,25.0,18.0,112.0,0.98802,3.07,0.64,13.3,1
11,2202,9.2,0.71,0.23,6.2,42.0,15.0,93.0,0.9948,2.89,0.34,10.1,1
12,2020,8.1,0.27,0.41,1.45,33.0,11.0,63.0,0.9908,2.99,0.56,12.0,0
13,723,6.7,0.14,0.51,4.3,28.0,57.0,124.0,0.99176,2.91,0.54,10.7,1
14,3865,7.6,0.31,0.26,1.7,73.0,40.0,157.0,0.9938,3.1,0.46,9.8,0
15,1337,6.2,0.53,0.02,0.9,35.0,6.0,81.0,0.99234,3.24,0.35,9.5,0
16,2949,6.9,0.19,0.35,6.9,45.0,51.0,125.0,0.9933,3.1,0.44,10.7,1
18,2624,7.3,0.3,0.74,13.5,39.0,46.0,165.0,0.9982,3.1884897229669336,0.4,8.7,0
19,2832,6.1,0.45,0.27,0.8,39.0,13.0,82.0,0.9927,3.23,0.32,9.5,0
20,492,6.1,0.36,0.27,2.1,35.0,16.0,100.0,0.9917,3.4,0.71,11.5,1
21,2255,6.3,0.48,0.48,1.8,35.0,35.0,96.0,0.99121,3.49,0.74,12.2,1
23,1988,9.2,0.32,0.42,1.3,46.0,14.0,186.0,0.9949,3.08,0.48,9.6,0
24,3104,7.0,0.24,0.36,4.9,83.0,10.0,133.0,0.9942,3.33,0.37,10.8,1
25,2651,6.5,0.13,0.27,2.6,35.0,32.0,76.0,0.9914,3.21,0.76,11.3333333333333,1
26,1235,8.0,0.32,0.26,1.2,0.05,11.5,88.0,0.9946,3.24,0.37,9.5,0
27,1388,6.4,0.33,0.28,4.0,0.04,24.0,81.0,0.9903,3.26,0.64,12.6,1
28,50,7.4,0.16,0.3,13.7,56.0,33.0,168.0,0.99825,2.9,0.44,8.7,1
30,3254,6.0,0.22,0.23,5.0,45.0,10.0,122.0,0.99261,2.94,0.63,10.0,1
31,337,8.3,0.16,0.37,7.9,25.0,38.0,107.0,0.99306,2.93,0.37,11.9,1
32,4504,8.1,0.26,0.3,7.8,49.0,39.0,152.0,0.9954,2.99,0.58,10.0,1
33,3703,6.3,0.18,0.22,5.6,47.0,45.0,147.0,0.99383,3.09,0.54,10.0,0
34,4116,6.8,0.32,0.34,1.2,44.0,14.0,67.0,0.9919,3.05,0.47,10.6,0
35,2396,6.0,0.2,0.24,5.3,75.0,49.0,201.0,0.99466,3.21,0.43,9.5,0
36,1586,5.9,0.17,0.3,1.4,42.0,25.0,119.0,0.9931,3.68,0.72,10.5,1
37,2155,8.3,0.16,0.48,1.7,57.0,31.0,98.0,0.9943,3.15,0.41,10.3,1
38,502,8.2,0.26,0.49,5.2,0.04,19.0,100.0,0.9941,3.12,0.34,10.1,1
39,1059,5.2,0.24,0.45,3.8,27.0,21.0,128.0,0.992,3.55,0.49,11.2,1
40,1730,7.0,0.25,0.33,2.1,21.0,17.0,138.39865871833084,0.99021,3.26,0.45,12.3,1
41,1855,5.9,0.25,0.24,7.4,44.0,21.0,113.0,0.99462,3.38,0.58,10.5,1
42,3071,7.3,0.26,0.49,5.0,28.0,32.0,107.0,0.9936,3.24,0.54,10.8,1
43,639,7.8,0.2,0.2,1.4,36.0,25.0,83.0,0.99088,3.03,0.46,11.7,1
44,2141,8.3,0.36,0.57,15.0,52.0,35.0,256.0,1.0001,2.93,0.64,8.6,0
46,2547,7.1,0.32,0.3,9.9,41.0,63.0,192.0,0.99642,3.12,0.49,10.2,1
47,127,6.4,0.25,0.3,5.5,38.0,15.0,129.0,0.9948,3.14,0.49,9.6,1
48,3707,5.0,0.17,0.56,1.5,26.0,24.0,115.0,0.9906,3.48,0.39,10.8,1
49,3853,7.4,0.33,0.26,15.6,49.0,67.0,210.0,0.99907,3.06,0.68,9.5,0
50,928,7.1,0.26,0.19,8.2,51.0,53.0,187.0,0.996,3.16,0.52,9.7,0
51,2532,8.6,0.18,0.28,0.8,32.0,25.0,78.0,0.99104,2.99,0.38,11.1,0
53,608,7.2,0.31,0.35,7.2,46.0,45.0,178.0,0.9955,3.14,0.53,9.7,0
54,3207,6.5,0.26,0.34,1.4,0.04,25.0,184.0,0.99216,3.29,0.46,10.7,0
55,4036,7.1,0.33,0.18,6.3,94.0,27.0,166.0,0.99474,2.9,0.49,9.5,0
56,4369,6.2,0.35,0.25,18.4,51.0,28.0,182.0,0.99946,3.13,0.62,9.3,1
58,8,6.4,0.29,0.21,9.65,41.0,36.0,119.0,0.99334,2.99,0.34,10.9333333333333,1
59,3543,6.4,0.32,0.26,7.9,0.05,53.0,180.0,0.99514,3.14,0.5,9.6,0
60,1581,5.9,0.32,0.26,1.5,57.0,17.0,141.0,0.9917,3.24,0.36,10.7,0
61,1886,6.7,0.24,0.26,12.6,53.0,44.0,182.0,0.99802,3.42,0.42,9.7,0
62,15,6.4,0.3,0.3,2.25,38.0,8.0,210.0,0.9937,3.2,0.62,9.9,1
63,1544,6.8,0.24,0.35,6.4,48.0,44.0,172.0,0.9944,3.29,0.55,10.5,1
64,1489,8.1,0.19,0.58,16.65,49.0,48.0,181.0,1.0006,3.2,0.62,9.1,1
65,2115,7.8,0.43,0.49,13.0,33.0,37.0,158.0,0.9955,3.14,0.35,11.3,1
66,3786,6.8,0.27,0.22,8.1,34.0,55.0,203.0,0.9961,3.19,0.52,8.9,0
67,3014,7.1,0.44,0.62,11.8,44.0,52.0,152.0,0.9975,3.12,0.46,8.7,1
68,1681,6.6,0.29,0.44,9.0,53.0,62.0,178.0,0.99685,3.02,0.45,8.9,0
69,3613,6.8,0.36,0.32,1.6,39.0,34.86378539493293,124.0,0.9948,3.3,0.67,9.6,0
70,1750,7.8,0.3,0.29,16.85,54.0,23.0,135.0,0.9998,3.16,0.38,9.0,1
71,4326,6.3,0.32,0.26,12.0,49.0,63.0,170.0,0.9961,3.14,0.55,9.9,1
72,3536,5.2,0.28,0.29,1.1,28.0,18.0,69.0,0.99168,3.24,0.54,10.0,1
73,1399,6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.9954,3.12,0.61,9.9,1
74,1104,6.7,0.35,0.32,9.0,32.0,29.0,113.0,0.99188,3.13,0.65,12.9,1
75,710,7.1,0.37,0.32,1.4,37.0,27.0,126.0,0.9918,3.19,0.62,12.0,0
76,4066,7.8,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8,0
77,2472,6.8,0.27,0.3,13.0,47.0,69.0,160.0,0.99705,3.16,0.5,9.6,1
78,4148,7.4,0.16,0.3,1.4,64.0,34.0,166.0,0.99136,3.11,0.42,11.4333333333333,1
79,4569,6.5,0.33,0.32,1.0,41.0,39.0,120.0,0.99004,3.06,0.37,12.2,1
80,2539,6.8,0.28,0.29,11.9,52.0,51.0,149.0,0.99544,3.02,0.58,10.4,1
81,1528,7.1,0.26,0.32,5.9,37.0,39.0,97.0,0.9934,3.31,0.4,11.6,1
83,3995,7.6,0.1,0.33,1.0,31.0,33.0,93.0,0.99094,3.06,0.68,11.2,1
84,4469,7.1,0.2,0.3,0.9,19.0,4.0,28.0,0.98931,3.2,0.36,12.0,1
85,1846,6.1,0.33,0.32,7.8,52.0,52.0,183.0,0.99657,3.39,0.65,9.5,0
86,3354,5.7,0.23,0.25,7.95,42.0,16.0,108.0,0.99486,3.44,0.61,10.3,1
87,1444,8.2,0.15,0.48,2.7,52.0,24.0,190.0,0.995,3.5,0.45,10.9,1
88,2085,8.6,0.36,0.26,11.1,0.03,43.5,171.0,0.9948,3.03,0.49,12.0,0
89,1090,7.3,0.17,0.23,6.3,51.0,35.0,240.0,0.9963,3.36,0.54,10.0,1
90,3160,7.1,0.28,0.28,8.5,0.03,25.0,191.0,0.99338,3.16,0.46,12.2,1
91,1900,7.5,0.32,0.49,1.7,31.0,44.0,109.0,0.9906,3.07,0.46,12.5,1
92,3147,7.2,0.29,0.53,18.15,47.0,59.0,182.0,0.9992,3.09,0.52,9.6,0
93,4331,5.8,0.28,0.35,2.3,53.0,36.0,114.0,0.9924,3.28,0.5,10.2,0
94,233,6.6,0.42,0.13,12.8,44.0,26.0,158.0,0.99772,3.24,0.47,9.0,0
95,2820,6.3,0.34,0.27,2.5,24.0,40.0,152.0,0.99095,3.35,0.6,11.9,1
96,3403,7.0,0.22,0.28,1.5,37.0,29.0,115.0,0.9927,3.11,0.55,10.5,1
97,3130,6.5,0.22,0.45,8.0,53.0,52.0,196.0,0.9959,3.23,0.48,9.1,1
98,3984,6.0,0.16,0.36,1.6,42.0,13.0,61.0,0.99143,3.22,0.54,10.8,1
100,4019,6.9,0.28,0.22,10.0,52.0,36.0,131.0,0.99696,3.08,0.46,9.6,0
101,4465,6.7,0.3,0.74,5.0,38.0,35.0,157.0,0.9945,3.21,0.46,9.9,0
102,2497,7.5,0.34,0.24,3.85,31.0,5.0,34.0,0.99098,3.01,0.36,11.8,0
103,3554,6.7,0.3,0.29,2.8,25.0,37.0,107.0,0.99159,3.31,0.63,11.3,1
104,2637,5.9,0.27,0.27,9.0,51.0,43.0,136.0,0.9941,3.25,0.53,10.7,1
105,350,6.3,0.25,0.22,3.3,48.0,41.0,161.0,0.99256,3.16,0.5,10.5,1
106,2132,6.7,0.32,0.32,1.7,31.0,31.0,114.0,0.98946,3.12,0.35,12.5,1
107,686,6.6,0.4,0.32,1.7,35.0,39.0,84.0,0.99096,3.59,0.48,12.7,1
108,2529,6.8,0.27,0.29,4.6,46.0,6.0,88.0,0.99458,3.34,0.48,10.6,0
109,255,7.5,0.27,0.79,11.95,0.04,51.0,159.0,0.99839,2.98,0.44,8.7,0
110,3347,6.5,0.36,0.32,1.1,31.0,13.0,66.0,0.9916,3.1,0.46,10.6,0
111,10,8.4,0.2,0.31,2.8,54.0,16.0,89.0,0.99416,2.96,0.45,9.5,1
113,4094,6.4,0.18,0.74,11.9,46.0,54.0,168.0,0.9978,3.58,0.68,10.1,0
114,4422,4.8,0.34,0.0,6.5,28.0,33.0,163.0,0.9939,3.36,0.61,9.9,1
115,1411,6.3,0.24,0.55,8.1,0.04,67.0,216.0,0.99596,3.24,0.5,9.2,0
116,2913,5.7,0.26,0.24,17.8,59.0,23.0,124.0,0.99773,3.3,0.5,10.1,0
117,2965,7.5,0.38,0.33,5.0,45.0,30.0,131.0,0.9942,3.32,0.44,10.9,1
118,2777,9.0,0.17,0.49,1.0,39.0,46.0,131.0,0.993,3.09,0.51,10.5,1
119,3996,6.8,0.25,0.28,5.0,35.0,42.0,126.0,0.99048,3.12,0.38,12.6,1
120,4594,6.9,0.22,0.32,5.8,41.0,20.0,119.0,0.99296,3.17,0.55,11.2,1
121,1380,9.8,0.93,0.45,8.6,52.0,34.0,187.0,0.9994,3.12,0.59,10.2,0
122,245,7.2,0.4,0.49,1.1,48.0,11.0,138.0,0.9929,3.01,0.42,9.3,0
123,2022,6.4,0.23,0.3,7.1,37.0,63.0,236.0,0.9952,3.06,0.34,9.2,1
124,1930,5.3,0.16,0.39,1.0,28.0,40.0,101.0,0.99156,3.57,0.59,10.6,1
125,2885,6.6,0.44,0.32,3.0,95.0,13.0,75.0,0.98954,3.1,0.63,12.8,1
126,3372,6.9,0.36,0.35,8.6,38.0,37.0,125.0,0.9916,3.0,0.32,12.4,1
127,2668,8.0,0.23,0.46,1.5,0.03,30.0,125.0,0.9907,3.23,0.47,12.5,1
128,2095,6.3,0.19,0.29,5.5,42.0,44.0,189.0,0.99304,3.19,0.47,10.3,1
129,993,7.2,0.23,0.38,6.1,67.0,20.0,90.0,0.99496,3.17,0.79,9.7,0
130,2052,6.6,0.27823801012809013,0.41,8.9,46.0,51.0,169.0,0.9954,3.14,0.57,9.8,1
131,3471,7.3,0.13,0.27,4.6,0.08,34.0,172.0,0.9938,3.23,0.39,11.1,1
